City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kavaratti,IN,82.85,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
7,Kapaa,US,80.58,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
9,Atuona,PF,79.7,broken clouds,-9.8,-139.0333,Villa Enata
16,Mahibadhoo,MV,83.03,overcast clouds,3.7833,72.9667,Omadhoo Inn
22,Rikitea,PF,76.71,overcast clouds,-23.1203,-134.9692,Pension Maro'i
24,Novo Aripuana,BR,84.69,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
28,Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
30,Kaele,CM,87.87,overcast clouds,10.1092,14.4508,Hôtel Les Palmiers
38,Ujjain,IN,86.79,overcast clouds,23.1833,75.7667,SPOT ON 69320 Hotel New Neha Palace
39,Victoria,HK,82.33,scattered clouds,22.2855,114.1577,Mini Hotel Central
41,Hilo,US,78.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
42,Bairiki,KI,82.98,light rain,1.3292,172.9752,Tarawa Boutique Hotel
45,Jamestown,US,85.32,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
47,Niceville,US,88.65,overcast clouds,30.5169,-86.4822,Hampton Inn Niceville-Eglin Air Force Base
49,Butaritari,KI,81.81,light rain,3.0707,172.7902,Isles Sunset Lodge
52,Meulaboh,ID,75.13,overcast clouds,4.1363,96.1285,Kost Pria
64,Vila Velha,BR,78.75,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
67,Port Blair,IN,83.88,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
69,Mumford,GH,81.01,scattered clouds,5.2618,-0.759,Spanish Villa
76,Houma,US,78.8,light rain,29.5958,-90.7195,Courtyard by Marriott Houma
91,Ormara,PK,83.95,scattered clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
92,Karratha,AU,75.15,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
98,Bubaque,GW,79.63,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
103,Puerto Ayora,EC,82.36,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
112,Itarema,BR,80.31,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
116,Gizo,SB,81.86,few clouds,-8.103,156.8419,Imagination Island
117,Faanui,PF,80.74,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
120,Honiara,SB,76.59,clear sky,-9.4333,159.95,Heritage Park Hotel
128,Tamale,GH,89.8,few clouds,9.4008,-0.8393,Tap Hotel
135,Sakakah,SA,87.8,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
147,Amarwara,IN,83.57,overcast clouds,22.3,79.1667,Study
151,Waddan,LY,85.55,clear sky,29.1614,16.139,محل الشريف محمد العايب
152,Luwuk,ID,76.12,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
153,Tabou,CI,77.88,overcast clouds,4.423,-7.3528,hotêl doufoulougou
156,Marshalltown,US,86.23,clear sky,42.0494,-92.908,Best Western Regency Inn
159,San Pedro,PH,83.35,broken clouds,14.35,121.0167,OYO 412 Viewfort Venue
162,Dingle,PH,75.67,light rain,10.9995,122.6711,SEGAYA PROPERTY
164,Buchanan,LR,80.56,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
167,Thunder Bay,CA,87.98,broken clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
169,Pundaguitan,PH,82.26,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
175,Chaman,PK,86.77,clear sky,30.9236,66.4512,Niamat parda Center chaman
179,Zhob,PK,83.32,clear sky,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
180,Arraial Do Cabo,BR,78.66,clear sky,-22.9661,-42.0278,Pousada Porto Praia
181,Halifax,CA,78.69,broken clouds,44.6453,-63.5724,Hotel Halifax
187,Talavera De La Reina,ES,80.71,clear sky,39.9635,-4.8308,Be Live City Center Talavera
194,Sur,OM,84.2,clear sky,22.5667,59.5289,Sur Plaza Hotel
195,Rayagada,IN,83.21,scattered clouds,19.1667,83.4167,"Hotel Swagath, Rayagada"
198,Ahuimanu,US,82.11,few clouds,21.4447,-157.8378,Paradise Bay Resort
210,Harper,LR,78.01,overcast clouds,4.375,-7.7169,Screensaver
216,Namatanai,PG,79.02,light rain,-3.6667,152.4333,Seagulls Inn Namatani
221,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
227,Maumere,ID,77.61,overcast clouds,-8.6199,122.2111,Sylvia Hotel
232,Santa Cruz,BO,76.21,overcast clouds,-17.8,-63.1667,Aviador Hotel Boutique
233,Hambantota,LK,79.97,overcast clouds,6.1241,81.1185,Bungalow 63
237,Hithadhoo,MV,83.17,clear sky,-0.6,73.0833,Scoop Guest House
241,Pandan,PH,79.9,overcast clouds,14.0453,124.1694,Bonifacio Lodge
253,West Wendover,US,76.21,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
257,Bandarbeyla,SO,80.58,clear sky,9.4942,50.8122,JABIR HOTEL
259,Tefe,BR,86.11,light rain,-3.3542,-64.7114,Aracati Hotel
262,Roebourne,AU,75.16,overcast clouds,-20.7833,117.1333,Latitude20 Roebourne Village
271,Tres Picos,MX,85.06,broken clouds,15.8667,-93.5333,HOTEL TRES PICOS
280,Pontianak,ID,75.18,overcast clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
288,Inirida,CO,86.52,light rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
290,La Colorada,PA,87.76,broken clouds,8.0167,-80.9833,Río Santa Clara
291,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
296,Golden,US,89.78,broken clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
297,Olinda,BR,76.73,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
304,Dunmore Town,BS,79.61,overcast clouds,25.5,-76.65,Coral Sands Hotel
307,Bachaquero,VE,81.18,overcast clouds,9.9694,-71.1494,casa de los dinosaurios
312,Pingshan,CN,75.02,clear sky,22.9938,114.7131,Island Skylight Resort
313,Winneba,GH,80.6,light rain,5.3511,-0.6231,Windy Lodge & Beach Resort
314,Alofi,NU,76.35,broken clouds,-19.0595,-169.9187,Taloa Heights
316,Kahului,US,82.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
317,Funadhoo,MV,82.09,overcast clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
318,Tatawin,TN,83.71,broken clouds,32.9297,10.4518,Sangho Privilege Tataouine
323,Picota,PE,77.49,overcast clouds,-6.9197,-76.3304,Hospedaje Vanessa
324,Kavieng,PG,81.48,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
325,Sao Joao Da Barra,BR,78.89,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
328,Corsicana,US,86.76,scattered clouds,32.0954,-96.4689,"Holiday Inn Express & Suites Corsicana I-45, an IHG Hotel"
332,Half Moon Bay,US,81.88,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
339,Banda Aceh,ID,79.93,overcast clouds,5.5577,95.3222,Sulthan Hotel International
340,Sao Filipe,CV,76.48,clear sky,14.8961,-24.4956,Hotel Xaguate
343,Mabaruma,GY,83.79,broken clouds,8.2,-59.7833,Monty Brooms Guest House
345,Cockburn Town,TC,80.1,clear sky,21.4612,-71.1419,Osprey Beach Hotel
349,The Valley,AI,84.81,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
357,Kalmunai,LK,82.15,overcast clouds,7.4167,81.8167,VS Villa
360,Shelburne,CA,89.56,clear sky,44.0787,-80.2041,The Retreat at the Farm
362,Sandakan,MY,77.04,overcast clouds,5.8402,118.1179,Hotel Sandakan
364,Nisia Floresta,BR,79.18,few clouds,-6.0911,-35.2086,Rancho Crepusculo
368,Tikapur,NP,86.88,clear sky,28.5,81.1333,BANANA AGRO RESORT
370,Carutapera,BR,81.28,clear sky,-1.195,-46.02,Lidera
374,Qui Nhon,VN,81.3,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
378,Esmeraldas,BR,76.06,overcast clouds,-19.7625,-44.3139,Forasteiro Pousada - Hotel
380,Villagarzon,CO,78.1,overcast clouds,1.0375,-76.6267,Hotel Samari
381,Ichchapuram,IN,85.73,overcast clouds,19.1167,84.7,Ashi home
383,Sinnamary,GF,76.57,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
385,Terrell,US,88.03,clear sky,32.736,-96.2753,"Holiday Inn Express & Suites Terrell, an IHG Hotel"
386,Tarakan,ID,81.45,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
389,Marquette,US,89.04,overcast clouds,46.5333,-87.6335,Al Quaal Lodge
390,Touros,BR,77.9,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
397,Lazaro Cardenas,MX,88.83,broken clouds,17.9583,-102.2,quinta antigua
398,Talara,PE,77.76,scattered clouds,-4.5772,-81.2719,Hostal Oro Negro
400,Cayenne,GF,84.24,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
402,Phonhong,LA,75.92,light rain,18.5007,102.4166,Manyvong Guest House
403,Wilmington Island,US,84.24,overcast clouds,32.0036,-80.9737,Breezeway Studio Manor LLC
406,Dharmavaram,IN,83.05,overcast clouds,14.4333,77.7167,BALAJI LODGE
408,Huntington,US,88.21,clear sky,38.4193,-82.4452,Ramada Limited Huntington
415,Upata,VE,83.44,broken clouds,8.0086,-62.3989,Posada Villa Nela
417,Malibu,US,81.45,scattered clouds,34.005,-118.8101,Malibu Country Inn
418,Salalah,OM,84.29,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
421,Santana Do Matos,BR,86.31,overcast clouds,-5.9575,-36.6556,Pousada Empório
422,Locri,IT,75.38,overcast clouds,38.2414,16.2623,Grand Hotel President
426,Koungou,YT,78.51,clear sky,-12.7336,45.2042,Villa Netibor
429,Merrill,US,86.81,clear sky,45.1805,-89.6835,Prairie Motel
430,Padang,ID,76.05,scattered clouds,-0.9492,100.3543,Mercure Padang
434,Tuy Hoa,VN,80.29,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
435,Edmundston,CA,77.68,few clouds,47.3737,-68.3251,Best Western Plus Edmundston Hotel
438,Toccoa,US,87.04,scattered clouds,34.5773,-83.3324,Quality Inn
448,Mancora,PE,77.58,overcast clouds,-4.1078,-81.0475,Máncora Marina Hotel
451,Sola,VU,80.13,broken clouds,-13.8833,167.55,Leumerus Bungalows
452,Almeirim,BR,86.79,overcast clouds,-1.5233,-52.5817,Ricácio Hotel
453,Biak,ID,75.34,overcast clouds,-0.9131,122.8766,Penginapan Kim
458,Joaima,BR,78.31,overcast clouds,-16.6542,-41.0306,Pousada LAZO
459,Santa Helena De Goias,BR,84.96,overcast clouds,-17.8136,-50.5969,Hotel Pacheco
462,Lapeer,US,89.64,scattered clouds,43.0514,-83.3188,"Holiday Inn Express Lapeer, an IHG Hotel"
465,El Castillo,MX,84.11,few clouds,19.5333,-96.85,City Express Xalapa
467,Paso Del Macho,MX,86.22,overcast clouds,18.9667,-96.7167,Hotel Hidalgo
470,Mitsamiouli,KM,78.57,few clouds,-11.3847,43.2844,Foyer ADM
471,Palmeiras De Goias,BR,86.14,overcast clouds,-16.805,-49.9258,Hotel Água Virada
474,Abha,SA,75.02,clear sky,18.2164,42.5053,Abha Hotel
479,Goderich,CA,87.21,few clouds,43.7501,-81.7165,Harmony Inn
480,San Andres,CO,87.82,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
484,Fasa,IR,88.84,clear sky,28.9383,53.6482,Fasa University Boys' Dormitory
487,Labuhan,ID,78.39,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
488,Chandbali,IN,86.74,broken clouds,20.7833,86.7667,KABITA HOMES
490,Palimbang,PH,80.19,overcast clouds,6.2106,124.1894,Felmar Beach resort
493,Luanda,AO,77.0,few clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
496,Douglas,US,85.24,broken clouds,41.3,-96.167,Hilton Garden Inn Omaha West
504,Matay,EG,79.93,clear sky,28.419,30.7792,Nag Aespen
510,Takoradi,GH,80.38,clear sky,4.8845,-1.7554,Raybow International Hotel
513,Sabang,ID,83.14,overcast clouds,5.8933,95.3214,Hotel Citra
519,Lata,PT,76.05,clear sky,40.1629,-8.3327,Casa Maquia
524,Braganca,BR,81.18,scattered clouds,-1.0536,-46.7656,Marujo's Suíte Hotel
528,Ternate,ID,80.13,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
535,Soyo,AO,76.68,scattered clouds,-6.1349,12.3689,Hotel Mpampa
537,Rawah,IQ,83.35,clear sky,34.4816,41.9093,ديوان الشيخ نامق محسن الراوي
539,Moose Factory,CA,80.6,scattered clouds,51.2585,-80.6094,Moosonee Lilypad
540,Acapulco,MX,89.42,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
541,Kandrian,PG,75.47,moderate rain,-6.2167,149.55,Kandrian Station
545,Wasaga Beach,CA,89.87,few clouds,44.5168,-80.0164,Kingsbridge Inn
548,Ruwi,OM,87.49,clear sky,23.5996,58.5507,Al Falaj Hotel
549,Sao Miguel Do Araguaia,BR,88.81,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
554,Umm Lajj,SA,84.06,clear sky,25.0213,37.2685,Moon light Furnished Units
556,Ranong,TH,78.66,light rain,9.9658,98.6348,Tinidee Hotel@Ranong
557,Dakar,SN,81.48,clear sky,14.6937,-17.4441,Redface Studios Meublés
558,Tamandare,BR,77.47,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
561,Paka,MY,79.09,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA
564,Villa Guerrero,MX,88.18,overcast clouds,18.8667,-99.65,"Ixtapan de la Sal Marriott Hotel, Spa & Convention Center"
571,Kirakira,SB,79.16,overcast clouds,-10.4544,161.9205,SanBiz Lodge
572,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
573,Jaque,PA,82.33,light rain,7.5175,-78.1703,Imbu Bua Lodge
574,Lorengau,PG,79.68,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
578,Yunyang,CN,77.11,light rain,33.4474,112.7142,Post & Telecom Hotel
581,Limbang,MY,78.91,overcast clouds,4.75,115.0,Purnama Hotel
582,Weston,US,89.62,broken clouds,26.1004,-80.3998,Courtyard by Marriott Fort Lauderdale Weston
587,Cururupu,BR,82.47,few clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
589,Sibolga,ID,75.22,scattered clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
593,Matagami,CA,80.71,clear sky,49.7502,-77.6328,Hôtel Matagami
594,Kumbhraj,IN,88.88,scattered clouds,24.3667,77.05,Sen Kiranastore
595,Neiafu,TO,75.88,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
610,Broome,US,89.69,scattered clouds,42.2506,-75.833,Chenango Valley State Park
612,Den Chai,TH,76.37,overcast clouds,17.9837,100.0522,Ruean Saen Hotel
621,Buala,SB,79.97,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
622,Awbari,LY,89.17,overcast clouds,26.5921,12.7805,فندق أوباري
628,Port-Gentil,GA,78.84,overcast clouds,-0.7193,8.7815,Fengshui Residence
635,Conde,BR,78.26,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
636,Tiarei,PF,82.42,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
641,Mogadishu,SO,79.29,broken clouds,2.0371,45.3438,Hotel Juba
642,Dibulla,CO,88.14,overcast clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
644,Kasongo,CD,77.81,overcast clouds,-4.45,26.6667,Guest Hôtel
650,Jalu,LY,82.2,clear sky,29.0331,21.5482,صاحبة الفخامة
651,Humaita,BR,89.96,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
652,Loubomo,CG,75.07,scattered clouds,-4.1997,12.6739,La Dolisienne
654,Zhongxing,CN,75.58,light rain,33.7039,118.6792,New Century Grand Hotel Siyang
657,Iquitos,PE,82.44,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
666,Coruripe,BR,77.63,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
672,Wilmington,US,83.98,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
675,Lormi,IN,87.28,clear sky,22.2833,81.7333,suresh Kumar Porte
